1stIPC,patent_number
A61B,10095
B41J,15221
B60W,5476
G01N,8634
G02B,12208
G02F,7092
G03G,20002
G06F,40985
G06K,11894
G06T,6702
G09G,6819
H01L,43387
H01M,13698
H01R,5327
H02K,5550
H04B,6492
H04L,10146
H04N,31264
H04W,12078
H05K,6493
