1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
B23B,905,77,45,61,74,80,101,109,105,114,52,87
B23C,330,31,19,26,40,44,56,24,23,23,24,20
B23D,172,19,9,14,20,12,19,16,16,14,19,14
B23F,62,5,6,6,9,7,7,6,7,3,3,3
B23G,33,3,3,3,7,1,3,4,4,2,1,2
B23H,284,23,22,35,35,35,44,27,22,24,12,5
B23K,2553,168,194,183,177,234,295,309,253,257,221,262
B23P,523,65,66,40,53,38,46,45,43,70,26,31
B23Q,764,58,47,65,53,82,114,83,64,68,63,67
B24B,911,74,83,84,93,85,99,75,51,85,100,82
B24C,111,5,18,11,11,19,5,5,7,12,8,10
B24D,112,21,12,10,4,12,15,11,7,8,6,6
B25B,294,29,19,20,17,18,23,28,33,33,24,50
B25C,166,8,8,11,11,3,10,18,18,22,25,32
B25D,135,11,13,9,6,11,8,15,16,10,20,16
B25F,215,11,9,15,19,10,19,23,21,17,29,42
B25G,21,3,1,6,4,2,1,1,0,2,0,1
B25H,13,0,1,4,1,1,1,0,0,2,2,1
B25J,2292,59,88,107,123,145,234,279,274,330,284,369
B26B,120,19,13,9,11,9,15,11,9,11,6,7
B26D,227,37,31,25,25,21,26,13,11,14,12,12
B26F,64,10,5,6,5,8,8,6,5,3,2,6
B27B,40,4,5,4,4,3,6,2,5,0,5,2
B27C,8,0,0,2,1,1,0,1,0,2,1,0
B27D,4,0,0,1,0,0,0,2,0,1,0,0
B27F,24,5,3,2,2,1,0,5,4,0,2,0
B27G,9,0,1,0,0,1,2,2,0,2,0,1
B27L,6,0,1,0,1,0,0,0,1,1,1,1
B27M,3,0,0,0,0,0,0,0,1,1,1,0
B27N,25,1,2,3,3,1,3,4,5,2,1,0
B28B,121,25,14,13,4,7,13,9,11,7,9,9
B28C,21,3,2,4,3,2,2,2,2,0,0,1
B28D,64,4,3,7,8,6,13,7,2,5,4,5
B29B,182,13,9,17,13,13,17,26,14,25,14,21
B29C,3419,261,251,260,246,261,358,376,361,366,345,334
B29D,522,66,60,54,45,55,70,65,42,26,20,19
B29K,3,1,0,0,0,0,2,0,0,0,0,0
B29L,4,0,0,0,0,0,4,0,0,0,0,0
B30B,114,10,10,9,7,8,16,11,13,10,12,8
B31B,91,8,10,5,8,1,4,7,15,10,9,14
B31C,1,0,0,0,0,1,0,0,0,0,0,0
B31D,5,1,0,2,0,0,0,1,0,0,0,1
B31F,109,10,18,7,10,15,17,11,10,5,5,1
B32B,4215,531,406,348,316,322,443,416,410,381,303,339
B33Y,98,0,0,0,2,4,16,17,14,20,13,12
B41B,1,0,0,1,0,0,0,0,0,0,0,0
B41C,41,7,5,8,2,1,6,0,0,3,4,5
B41F,269,32,44,43,28,20,10,23,27,24,10,8
B41J,14768,2020,1976,1635,1235,1234,1329,1333,1109,937,944,1016
B41K,13,0,0,4,4,3,2,0,0,0,0,0
B41L,13,2,3,2,3,1,0,1,0,1,0,0
B41M,599,72,41,56,71,58,66,53,44,38,38,62
B41N,70,8,7,5,2,4,10,15,9,4,3,3
B42B,35,4,3,7,1,4,8,4,2,1,0,1
B42C,91,7,10,10,17,8,8,7,12,4,7,1
B42D,93,3,6,6,5,12,14,13,12,6,7,9
B42F,16,2,0,2,2,2,4,4,0,0,0,0
B43K,136,10,10,11,19,13,16,12,10,13,9,13
B43L,13,1,2,1,0,1,1,1,2,0,3,1
B43M,20,3,0,5,2,2,0,3,0,1,0,4
B44B,4,0,1,1,0,0,0,0,1,0,1,0
B44C,201,51,44,26,22,20,12,4,7,4,4,7
B44D,2,0,0,0,0,0,0,1,1,0,0,0
B44F,13,3,2,2,1,0,0,0,0,3,2,0
B60B,278,27,22,36,32,24,29,22,16,24,28,18
B60C,2362,183,207,197,170,209,279,257,182,257,223,198
B60D,28,1,1,3,1,2,2,2,7,4,3,2
B60F,16,0,0,1,0,3,6,0,4,0,2,0
B60G,643,51,41,54,53,56,57,68,57,63,53,90
B60H,876,26,37,51,57,95,114,126,105,110,78,77
B60J,937,65,74,76,100,87,109,89,87,110,77,63
B60K,2655,222,240,207,254,243,328,238,217,232,215,259
B60L,2332,184,226,210,238,250,229,171,227,224,156,217
B60M,23,0,1,5,2,3,5,3,4,0,0,0
B60N,1815,98,141,129,145,161,306,215,194,159,123,144
B60P,98,14,10,9,7,6,10,4,5,9,10,14
B60Q,1523,136,133,119,140,149,192,183,135,113,101,122
B60R,4348,323,304,305,357,379,460,530,509,464,333,384
B60S,283,19,24,21,10,31,19,38,19,44,33,25
B60T,1358,179,153,176,141,115,116,113,85,115,66,99
B60V,1,0,0,0,0,0,0,0,1,0,0,0
B60W,5057,190,282,253,355,356,379,460,527,809,689,757
B61B,35,3,0,2,4,4,4,5,1,5,0,7
B61C,21,4,4,2,1,2,1,1,1,2,0,3
B61D,97,8,8,18,14,11,8,9,5,7,3,6
B61F,128,10,9,24,13,18,10,22,10,3,8,1
B61G,13,2,1,0,2,3,0,2,0,2,0,1
B61H,8,0,0,0,3,1,0,1,1,1,1,0
B61J,2,0,0,1,1,0,0,0,0,0,0,0
B61K,11,0,1,2,1,1,0,1,3,1,1,0
B61L,149,1,10,10,14,9,19,12,28,13,9,24
B62B,79,3,4,5,7,3,5,6,4,13,12,17
B62C,2,0,0,2,0,0,0,0,0,0,0,0
B62D,4280,363,368,351,420,363,433,418,408,408,371,377
B62H,19,0,1,2,2,0,4,4,1,4,1,0
B62J,473,25,42,42,47,41,33,38,36,52,54,63
B62K,617,58,57,74,69,63,58,71,46,39,30,52
B62L,128,11,3,11,11,16,26,17,15,7,6,5
B62M,612,29,32,55,38,57,80,66,78,52,66,59
B63B,160,7,14,7,16,13,12,14,14,25,13,25
B63C,12,1,1,2,2,0,0,2,2,0,1,1
B63G,27,1,1,4,1,0,7,2,2,4,1,4
B63H,468,47,34,51,48,40,47,35,39,35,40,52
B63J,6,0,0,0,4,0,1,0,1,0,0,0
B64B,9,0,1,0,0,1,0,0,2,2,1,2
B64C,336,12,16,26,22,27,17,25,28,52,49,62
B64D,207,6,5,15,14,17,22,20,8,21,37,42
B64F,52,1,0,0,3,3,2,4,9,14,7,9
B64G,74,2,1,7,0,3,6,8,7,9,7,24
B64U,14,0,0,0,0,0,0,0,0,0,3,11
B65B,474,45,49,43,34,44,42,60,40,47,29,41
B65C,46,6,4,5,3,6,4,5,4,5,2,2
B65D,1237,123,81,102,116,121,124,126,125,105,93,121
B65F,8,0,0,0,2,1,0,0,0,0,1,4
B65G,1082,91,108,95,88,110,126,122,87,66,69,120
B65H,4226,504,477,392,446,445,412,319,277,324,317,313
B66B,266,16,27,27,28,23,27,25,13,32,24,24
B66C,257,20,23,17,19,14,21,33,22,23,16,49
B66D,49,1,7,3,5,5,8,2,6,3,3,6
B66F,157,9,14,13,19,7,10,15,10,18,18,24
B67B,8,1,0,0,1,0,0,1,0,0,3,2
B67C,51,0,0,2,0,1,3,3,15,6,11,10
B67D,106,11,12,23,7,9,9,11,7,8,4,5
B68G,9,0,1,1,2,0,4,1,0,0,0,0
B81B,115,4,5,16,10,11,21,16,7,4,12,9
B81C,57,2,2,4,8,4,7,7,5,3,7,8
B82B,1,0,1,0,0,0,0,0,0,0,0,0
B82Y,43,2,8,4,4,3,9,4,2,4,2,1
C01B,856,63,78,100,75,56,76,79,73,106,63,87
C01C,14,2,1,1,2,3,2,1,0,2,0,0
C01D,23,2,3,4,3,2,1,1,1,1,0,5
C01F,95,8,8,4,8,7,13,5,11,8,12,11
C01G,247,11,24,27,19,26,22,25,13,28,24,28
C02F,428,21,21,30,45,57,55,54,29,50,39,27
C03B,514,84,60,56,46,34,36,48,39,44,37,30
C03C,700,98,89,68,76,61,58,49,54,46,44,57
C04B,807,78,83,67,74,84,70,81,77,75,65,53
C05B,1,0,0,0,0,1,0,0,0,0,0,0
C05C,2,1,0,0,0,0,0,0,0,0,1,0
C05D,1,0,0,0,0,0,0,1,0,0,0,0
C05F,13,1,2,2,1,0,0,2,3,1,1,0
C05G,3,0,1,0,0,0,0,0,1,0,1,0
C06B,6,0,2,2,0,1,0,0,0,0,0,1
C06D,10,2,2,4,1,1,0,0,0,0,0,0
C07B,21,1,1,2,2,2,8,2,1,0,2,0
C07C,1768,226,264,196,171,163,163,145,122,112,114,92
C07D,2418,256,327,270,284,252,239,210,188,139,117,136
C07F,526,54,73,68,46,51,49,48,60,32,29,16
C07G,5,0,0,0,1,1,1,1,0,1,0,0
C07H,338,55,39,48,27,24,29,29,17,24,25,21
C07J,8,0,1,1,3,0,0,1,2,0,0,0
C07K,909,61,95,90,88,60,72,85,100,87,81,90
C08B,197,11,25,20,9,8,11,20,30,26,23,14
C08C,137,14,14,11,21,17,15,13,15,7,6,4
C08F,2021,229,219,194,199,175,169,184,155,183,144,170
C08G,1922,226,179,200,183,172,174,201,164,134,146,143
C08H,4,0,0,0,0,1,0,1,0,2,0,0
C08J,1018,50,60,76,60,98,117,116,122,116,102,101
C08K,1203,174,141,138,122,131,122,98,64,70,69,74
C08L,2438,158,180,203,242,225,204,275,253,251,215,232
C09B,160,14,10,14,11,10,18,15,13,19,11,25
C09C,130,4,18,8,5,12,9,10,16,24,11,13
C09D,2033,151,143,177,204,180,232,249,184,151,147,215
C09F,1,0,0,1,0,0,0,0,0,0,0,0
C09G,166,3,7,8,10,17,11,21,19,28,19,23
C09J,751,18,27,56,62,52,84,107,83,87,66,109
C09K,1615,169,178,154,169,123,138,140,153,137,129,125
C10B,29,3,2,2,3,2,4,4,2,2,1,4
C10C,4,0,1,2,1,0,0,0,0,0,0,0
C10G,78,18,6,7,12,11,2,5,6,4,6,1
