1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
G01Q,92,8,3,16,9,9,10,16,9,8,4,0
G01R,4684,405,354,412,421,413,459,440,474,485,401,420
G01S,2313,118,140,117,131,137,229,267,247,278,314,335
G01T,950,135,109,104,92,92,84,75,79,60,66,54
G01V,344,45,20,21,44,46,47,32,18,18,21,32
G01W,36,0,2,1,3,2,5,3,4,8,4,4
G02B,11849,1074,1091,1215,1239,1090,1296,1212,1016,967,780,869
G02C,202,22,27,13,19,17,24,22,12,23,10,13
G02F,6905,711,622,689,643,612,665,708,617,504,565,569
G03B,3957,627,534,460,404,392,309,388,275,225,192,151
G03C,31,15,4,5,1,2,1,2,0,0,0,1
G03D,28,7,5,3,4,3,1,5,0,0,0,0
G03F,3731,444,452,343,347,313,354,298,292,303,302,283
G03G,19552,2404,2670,2585,1806,1858,1851,1657,1335,1162,1157,1067
G03H,143,27,19,10,14,16,18,10,9,7,8,5
G04B,214,37,27,19,20,13,17,18,14,19,7,23
G04C,119,23,13,9,10,14,9,11,4,8,7,11
G04D,2,1,0,0,0,0,0,0,0,0,0,1
G04F,54,4,10,6,5,8,10,7,0,3,0,1
G04G,125,2,7,14,15,10,19,13,12,14,8,11
G04R,117,3,13,26,20,17,8,9,8,3,4,6
G05B,3353,185,197,258,291,347,438,378,361,372,283,243
G05D,1839,117,115,100,120,157,163,194,193,246,210,224
G05F,911,161,135,109,127,106,68,62,42,36,37,28
G05G,231,30,23,25,27,24,17,20,13,14,19,19
G06C,3,0,0,0,1,0,0,2,0,0,0,0
G06E,10,1,1,2,3,0,1,0,0,1,1,0
G06F,39983,5337,4621,3928,3666,3281,4008,3553,3096,2935,2663,2895
G06G,163,29,29,28,20,10,16,10,8,5,4,4
G06K,11759,1820,1610,1354,1295,1078,1067,1044,1061,698,368,364
G06M,18,2,2,4,3,4,0,1,1,1,0,0
G06N,941,19,16,26,22,18,51,83,90,186,252,178
G06Q,2377,125,74,78,93,133,239,262,265,391,354,363
G06T,6262,178,302,391,415,398,653,811,812,874,603,825
G06V,1114,0,0,0,0,0,0,0,0,234,368,512
G07B,39,3,2,2,2,0,6,3,8,10,1,2
G07C,607,4,20,36,31,35,59,71,85,69,78,119
G07D,244,10,23,17,15,28,29,24,25,20,20,33
G07F,601,59,53,49,59,40,47,70,56,53,42,73
G07G,66,4,2,4,2,8,7,10,8,5,7,9
G08B,1001,125,97,90,98,102,86,95,79,83,73,73
G08C,217,37,20,30,34,32,15,16,13,7,4,9
G08G,1322,67,65,66,92,109,136,164,166,146,130,181
G09B,287,18,16,20,20,25,33,36,35,25,28,31
G09C,16,2,2,0,0,1,3,2,2,1,0,3
G09F,225,44,27,20,12,23,22,31,13,10,8,15
G09G,6690,1102,898,661,705,607,576,573,467,384,342,375
G10B,3,1,0,0,0,0,1,0,0,0,0,1
G10C,103,21,9,13,5,6,15,14,10,3,6,1
G10D,146,16,23,17,13,9,17,17,9,9,6,10
G10F,14,0,5,4,0,0,2,0,0,1,1,1
G10G,24,3,3,1,1,2,1,4,1,6,0,2
G10H,514,64,61,49,39,27,70,55,35,20,52,42
G10K,344,11,25,23,30,17,39,35,30,38,43,53
G10L,1786,158,122,158,158,121,153,184,178,207,153,194
G11B,3129,670,429,216,231,226,230,261,223,248,191,204
G11C,4330,645,521,463,468,339,403,384,307,249,263,288
G12B,6,2,1,0,0,1,0,0,0,0,0,2
G16B,24,0,0,0,0,0,0,2,0,4,13,5
G16C,13,0,0,0,0,0,0,0,5,2,1,5
G16H,319,0,0,0,0,2,16,32,48,58,71,92
G16Y,0,0,0,0,0,0,0,0,0,0,0,0
G21B,7,0,0,1,1,4,0,1,0,0,0,0
G21C,197,46,29,26,27,14,15,14,9,8,3,6
G21D,12,1,0,1,2,0,2,1,2,2,1,0
G21F,57,4,5,10,10,9,2,4,6,4,1,2
G21G,25,13,0,2,2,1,1,1,0,3,2,0
G21K,230,74,52,29,21,11,14,8,7,8,6,0
H01B,1947,157,177,223,207,213,226,189,160,120,112,163
H01C,291,16,19,24,31,50,35,22,22,18,32,22
H01F,3551,178,206,263,321,314,355,382,307,388,434,403
H01G,2412,147,172,184,214,235,262,216,236,238,236,272
H01H,1699,200,199,207,182,164,158,122,145,124,92,106
H01J,3889,395,335,335,325,277,340,404,387,395,330,366
H01K,63,15,13,8,3,5,7,4,3,0,3,2
H01L,42449,4736,4928,4619,4459,4110,4095,4063,3404,3129,2436,2470
H01M,13243,960,1029,1067,1260,1251,1482,1497,1290,1313,1027,1067
H01P,664,67,70,74,83,71,54,60,59,44,38,44
H01Q,2242,189,175,156,239,191,249,213,228,237,141,224
H01R,5175,423,617,695,585,511,554,523,362,354,291,260
H01S,1940,227,198,175,173,168,188,173,157,164,127,190
H01T,553,77,71,60,51,68,66,53,38,19,24,26
H02B,140,14,16,22,19,17,13,10,10,5,6,8
H02G,730,52,78,82,93,56,73,71,67,50,48,60
H02H,810,117,91,81,84,67,91,73,62,56,32,56
H02J,4428,247,412,446,495,532,513,431,418,354,235,345
H02K,5337,331,375,412,490,468,626,632,526,527,412,538
H02M,3305,180,242,312,385,382,384,306,280,287,229,318
H02N,477,45,49,38,45,29,49,40,46,57,56,23
H02P,2786,268,287,262,293,246,262,275,272,265,190,166
H02S,141,0,2,6,12,10,32,17,14,10,9,29
H03B,545,95,59,86,55,44,62,43,35,21,20,25
H03C,27,14,3,5,4,0,0,0,0,0,0,1
H03D,114,29,31,15,8,5,5,5,4,5,2,5
H03F,1110,93,78,101,108,86,109,103,110,142,82,98
H03G,295,52,50,48,39,32,31,17,10,9,2,5
H03H,2119,160,182,154,143,150,233,237,195,198,191,276
H03J,7,2,0,0,1,2,0,0,1,1,0,0
H03K,1884,226,222,195,204,153,220,195,124,114,112,119
H03L,486,88,67,85,46,28,59,38,24,15,20,16
H03M,1263,206,179,128,122,113,118,104,86,64,64,79
H04B,6327,967,790,656,695,555,544,491,367,498,378,386
H04H,177,30,29,16,19,13,19,19,12,7,7,6
H04J,1098,247,184,123,119,81,92,59,59,51,45,38
H04K,152,60,31,19,11,9,6,6,1,2,3,4
H04L,9845,899,860,837,872,762,1061,1031,942,937,777,867
H04M,1355,261,190,197,178,137,114,103,42,49,46,38
H04N,30521,3499,3190,2822,2978,2835,3098,2981,2482,2488,2140,2008
H04Q,293,56,52,39,39,28,16,12,12,13,12,14
H04R,2111,211,190,259,234,219,212,193,152,160,133,148
H04S,252,2,6,9,16,14,23,32,33,43,32,42
H04W,11575,782,761,927,1054,1092,1213,1297,1120,1196,903,1230
H05B,1951,294,295,276,214,164,204,123,93,106,83,99
H05F,49,9,4,9,4,4,5,3,2,4,5,0
H05G,397,61,53,51,42,40,42,47,23,25,6,7
H05H,188,20,18,21,20,15,19,17,12,15,13,18
H05K,6274,579,602,647,686,622,675,579,486,504,387,507
H10B,168,0,0,0,0,0,0,0,0,0,49,119
H10D,0,0,0,0,0,0,0,0,0,0,0,0
H10F,0,0,0,0,0,0,0,0,0,0,0,0
H10H,0,0,0,0,0,0,0,0,0,0,0,0
H10K,461,0,0,0,0,0,0,0,0,0,111,350
H10N,181,0,0,0,0,0,0,0,0,0,57,124
