1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
G03F,416,10,21,36,39,33,60,43,49,40,37,48
G03G,132,15,12,10,12,13,13,13,13,10,10,11
G03H,50,0,0,3,0,6,9,14,6,7,3,2
G04B,12,3,0,1,2,1,2,0,0,2,1,0
G04C,6,1,0,1,1,1,1,1,0,0,0,0
G04D,1,0,0,0,0,0,0,0,0,0,0,1
G04F,9,0,1,0,0,0,0,1,1,3,1,2
G04G,30,1,0,2,2,6,4,3,2,4,1,5
G04R,5,0,0,1,0,0,0,2,0,1,0,1
G05B,489,7,14,19,25,30,43,47,45,81,76,102
G05D,714,8,14,15,26,41,69,90,123,119,96,113
G05F,337,42,43,34,40,33,38,31,21,18,18,19
G05G,48,2,2,2,4,1,8,6,4,4,9,6
G06E,7,0,0,0,0,1,0,1,1,0,1,3
G06F,17482,678,718,1010,1316,1415,1903,1956,1846,2190,1928,2522
G06G,37,2,4,1,8,4,4,2,7,3,1,1
G06K,3168,86,130,150,175,276,416,500,636,459,175,165
G06M,6,1,1,0,0,0,1,2,0,0,1,0
G06N,706,2,3,5,5,6,35,46,58,155,198,193
G06Q,780,4,8,7,24,24,47,89,128,175,120,154
G06T,2973,14,24,44,77,102,200,326,428,504,522,732
G06V,882,0,0,0,0,0,0,0,0,229,308,345
G07B,3,1,0,1,0,0,0,0,1,0,0,0
G07C,146,0,0,7,6,11,8,16,17,26,21,34
G07D,39,0,0,7,7,5,9,2,2,1,3,3
G07F,67,4,6,6,10,7,5,6,5,9,7,2
G07G,3,0,0,0,1,0,0,1,0,0,1,0
G08B,318,17,19,21,30,53,34,22,26,35,29,32
G08C,121,9,14,7,19,20,10,8,13,7,3,11
G08G,350,7,6,3,7,10,32,37,51,67,55,75
G09B,103,3,1,2,3,4,6,5,19,19,19,22
G09C,1,0,0,0,0,0,0,0,0,1,0,0
G09F,292,32,17,6,10,18,28,25,26,68,22,40
G09G,7371,84,127,325,524,652,874,827,972,1145,827,1014
G10C,3,0,0,0,0,1,0,1,0,0,1,0
G10D,12,0,1,0,3,2,0,0,4,0,1,1
G10F,1,0,0,0,0,0,0,1,0,0,0,0
G10G,3,0,0,0,1,1,0,0,0,1,0,0
G10H,57,0,0,2,1,3,10,14,9,6,7,5
G10K,92,0,1,1,6,9,10,6,13,17,13,16
G10L,1157,34,24,64,75,61,107,141,140,186,142,183
G11B,305,47,30,15,15,18,18,24,18,37,30,53
G11C,1447,20,53,71,88,85,135,147,181,172,184,311
G12B,1,1,0,0,0,0,0,0,0,0,0,0
G16B,20,0,0,0,0,0,2,0,4,2,7,5
G16C,19,0,0,0,0,0,0,0,1,1,8,9
G16H,109,0,0,0,0,0,4,5,11,22,25,42
G16Y,3,0,0,0,0,0,0,0,0,0,1,2
G21B,4,0,0,0,0,1,0,0,0,0,0,3
G21C,41,0,2,1,3,0,3,13,3,5,3,8
G21D,4,0,0,0,0,0,2,1,0,0,1,0
G21F,21,2,0,1,1,4,1,2,1,4,0,5
G21G,1,1,0,0,0,0,0,0,0,0,0,0
G21H,6,0,0,0,1,0,1,0,1,0,2,1
G21K,40,1,1,3,1,6,7,3,4,7,4,3
H01B,216,18,14,19,22,26,19,16,9,15,28,30
H01C,45,2,1,6,5,4,3,5,6,3,5,5
H01F,422,11,10,17,23,44,36,32,52,46,68,83
H01G,94,1,2,5,8,7,11,5,13,10,16,16
H01H,603,38,35,42,48,66,71,52,69,52,57,73
H01J,428,36,36,38,40,21,34,46,49,52,38,38
H01K,27,2,3,0,4,5,5,3,2,3,0,0
H01L,14216,506,628,871,1190,1076,1642,1689,1695,2173,1260,1486
H01M,2377,46,76,54,80,93,144,250,284,327,408,615
H01P,265,3,15,14,30,23,31,20,31,22,31,45
H01Q,1311,40,46,44,83,93,129,135,174,184,146,237
H01R,1801,103,98,117,139,119,153,230,215,238,251,138
H01S,316,10,20,14,32,24,18,37,31,33,26,71
H01T,14,1,1,0,2,2,2,1,2,1,1,1
H02B,39,3,2,4,4,3,7,2,5,1,3,5
H02G,103,5,8,4,6,5,10,7,7,18,15,18
H02H,426,31,27,35,34,32,35,29,43,56,43,61
H02J,1776,31,63,87,87,140,218,186,192,248,213,311
H02K,615,18,18,20,34,30,54,72,67,93,82,127
H02M,1637,52,62,144,162,164,187,137,139,173,207,210
H02N,85,0,1,0,10,4,8,5,11,13,16,17
H02P,327,12,9,17,20,26,29,27,40,45,47,55
H02S,133,0,2,2,4,8,16,8,14,18,24,37
H03B,95,7,6,10,6,1,10,15,11,11,13,5
H03C,5,1,1,0,1,0,0,1,0,1,0,0
H03D,54,14,6,6,5,2,3,3,3,2,6,4
H03F,293,21,16,26,21,24,29,29,38,21,30,38
H03G,90,3,10,5,8,14,13,10,13,6,4,4
H03H,201,5,9,8,6,15,14,24,22,16,33,49
H03J,4,0,0,0,0,2,0,0,0,1,0,1
H03K,656,27,32,54,48,50,57,64,62,67,100,95
H03L,179,10,9,20,15,9,12,29,15,16,28,16
H03M,704,32,30,31,27,46,78,103,120,91,83,63
H04B,3562,242,251,242,293,351,367,374,352,347,323,420
H04H,90,23,8,12,10,10,4,4,7,2,5,5
H04J,750,116,82,50,80,68,58,74,63,53,55,51
H04K,91,17,9,13,7,6,5,7,9,4,5,9
H04L,10094,363,368,479,607,716,1070,1232,1242,1397,1126,1494
H04M,1282,121,70,130,135,131,141,165,115,105,77,92
H04N,6255,162,154,218,312,359,488,600,772,1015,894,1281
H04Q,186,16,14,18,27,16,19,11,14,25,9,17
H04R,1844,61,60,110,108,111,193,169,169,248,264,351
H04S,80,0,0,4,5,8,12,8,15,5,10,13
H04W,14305,430,426,663,862,928,1236,1480,1926,2267,1579,2508
H05B,1336,89,115,116,113,121,166,139,114,138,120,105
H05F,13,1,2,1,2,0,1,0,0,0,4,2
H05G,34,0,3,2,3,3,2,2,3,12,2,2
H05H,36,2,1,5,0,0,7,1,4,4,4,8
H05K,2330,177,167,132,147,146,226,215,238,257,275,350
H10B,277,0,0,0,0,0,0,0,0,0,65,212
H10D,0,0,0,0,0,0,0,0,0,0,0,0
H10F,0,0,0,0,0,0,0,0,0,0,0,0
H10H,0,0,0,0,0,0,0,0,0,0,0,0
H10K,899,0,0,0,0,0,0,0,0,0,199,700
H10N,54,0,0,0,0,0,0,0,0,0,15,39
