1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
B23B,96,5,2,6,11,8,22,13,7,11,8,3
B23C,25,2,0,2,1,1,4,3,3,4,4,1
B23D,57,0,3,3,5,5,5,8,10,5,4,9
B23F,3,0,1,0,0,0,0,0,1,0,0,1
B23G,1,0,1,0,0,0,0,0,0,0,0,0
B23H,17,1,0,0,0,3,1,1,1,2,3,5
B23K,270,7,9,11,18,7,24,38,22,23,45,66
B23P,150,13,9,18,14,11,8,14,19,10,16,18
B23Q,140,10,8,21,12,9,9,10,8,10,17,26
B24B,210,12,9,13,10,30,27,18,11,19,27,34
B24C,9,0,0,0,2,1,0,0,1,0,2,3
B24D,21,0,3,0,2,2,5,1,3,1,1,3
B25B,167,5,16,14,23,13,21,23,8,19,16,9
B25C,45,1,1,0,8,2,5,2,5,7,8,6
B25D,7,0,0,1,0,0,0,1,0,1,1,3
B25F,45,0,0,1,1,2,7,9,4,6,4,11
B25G,13,0,2,0,1,3,1,1,0,0,3,2
B25H,16,1,1,0,1,1,2,1,1,3,1,4
B25J,516,12,17,12,11,23,39,57,56,88,80,121
B26B,50,0,2,2,5,6,9,7,4,8,2,5
B26D,48,4,4,2,4,4,5,3,3,8,9,2
B26F,12,1,0,2,2,0,2,2,1,1,0,1
B27B,19,0,0,1,1,1,1,2,2,6,2,3
B27C,1,0,0,0,0,0,0,0,0,0,0,1
B27D,3,0,0,0,0,0,0,0,0,1,0,2
B27F,1,0,0,0,0,0,0,1,0,0,0,0
B27G,3,0,0,0,1,0,0,0,0,0,1,1
B27H,1,0,0,0,0,0,0,1,0,0,0,0
B27J,4,1,0,0,1,0,0,0,0,0,0,2
B27K,11,0,0,0,0,2,1,0,2,2,3,1
B27L,1,0,0,0,0,1,0,0,0,0,0,0
B27M,3,0,0,0,0,0,0,1,0,2,0,0
B27N,6,1,0,0,0,0,0,3,1,0,0,1
B28B,32,2,1,1,1,0,0,2,4,8,3,10
B28C,7,0,1,0,0,2,0,0,0,0,3,1
B28D,15,1,0,2,0,2,0,3,2,0,2,3
B29B,14,1,0,1,0,0,2,1,3,0,2,4
B29C,443,20,22,17,24,24,31,56,50,58,65,76
B29D,62,3,1,6,7,6,7,4,2,6,9,11
B29K,2,0,0,1,0,0,0,0,0,0,1,0
B29L,2,0,0,0,0,0,1,0,0,0,1,0
B30B,29,0,1,2,1,1,2,6,1,7,2,6
B31B,6,0,0,0,0,0,0,0,0,1,4,1
B31D,2,0,0,0,1,0,0,0,0,1,0,0
B31F,8,0,1,1,0,1,0,2,0,1,1,1
B32B,603,57,34,38,35,47,71,57,54,66,70,74
B33Y,30,0,0,0,1,3,3,1,4,7,8,3
B41B,1,0,1,0,0,0,0,0,0,0,0,0
B41C,1,0,0,0,0,0,0,1,0,0,0,0
B41F,43,0,0,5,3,3,6,5,12,7,0,2
B41J,174,19,11,14,22,12,16,17,17,18,18,10
B41K,5,0,0,0,0,1,2,0,1,0,0,1
B41M,23,2,1,3,0,4,1,3,1,3,1,4
B41N,7,1,0,0,1,1,1,1,1,0,1,0
B42B,1,0,0,0,1,0,0,0,0,0,0,0
B42D,16,0,0,0,2,3,4,2,2,2,0,1
B42F,10,6,2,2,0,0,0,0,0,0,0,0
B43K,33,3,1,2,2,2,1,3,5,6,3,5
B43L,11,0,1,0,2,0,2,1,1,2,1,1
B43M,2,0,0,0,1,0,0,0,1,0,0,0
B44B,2,0,0,0,0,0,0,0,0,1,1,0
B44C,22,4,3,2,3,3,3,0,2,1,1,0
B44D,2,0,0,0,0,0,0,1,1,0,0,0
B44F,2,0,0,1,0,0,0,0,1,0,0,0
B60B,77,7,1,5,1,7,4,7,14,9,6,16
B60C,73,3,2,4,4,5,5,7,10,10,9,14
B60D,5,0,0,0,0,0,0,2,2,0,0,1
B60F,6,0,0,2,0,0,0,0,0,2,2,0
B60G,72,2,1,2,3,4,5,7,6,7,17,18
B60H,83,0,0,2,3,4,4,6,8,21,11,24
B60J,71,0,1,3,1,8,9,8,9,13,9,10
B60K,219,6,2,7,9,12,22,18,34,28,36,45
B60L,284,3,7,4,17,20,21,23,27,42,46,74
B60M,8,0,0,0,0,0,3,1,1,0,2,1
B60N,116,3,4,4,3,4,7,12,16,23,22,18
B60P,43,1,1,1,6,4,7,6,3,6,4,4
B60Q,134,8,5,3,9,13,19,23,19,14,9,12
B60R,238,3,5,6,10,13,22,33,32,33,36,45
B60S,64,5,3,4,4,2,6,3,6,9,12,10
B60T,61,0,2,2,3,6,4,3,6,11,15,9
B60V,1,0,0,0,0,1,0,0,0,0,0,0
B60W,351,0,0,4,11,16,12,21,33,86,74,94
B61B,12,1,0,0,0,1,0,1,2,1,2,4
B61C,11,0,0,0,1,0,2,0,1,2,1,4
B61D,46,0,3,1,2,2,2,4,11,14,2,5
B61F,50,3,1,2,2,8,7,3,9,8,3,4
B61G,22,1,0,1,3,2,2,3,3,2,2,3
B61H,9,0,0,0,1,1,1,0,1,2,2,1
B61K,4,0,1,0,0,1,0,0,1,0,1,0
B61L,72,0,2,1,1,0,9,5,8,7,11,28
B62B,123,8,11,9,7,12,9,10,15,10,9,23
B62D,194,0,5,6,5,15,16,19,22,28,26,52
B62H,9,0,1,0,0,0,2,2,0,1,2,1
B62J,35,2,1,1,6,0,1,5,5,7,3,4
B62K,112,4,0,6,3,10,13,18,15,16,14,13
B62L,4,0,0,0,0,0,0,1,0,0,2,1
B62M,48,3,2,2,3,3,9,3,5,8,4,6
B63B,106,1,6,2,8,4,10,3,10,18,23,21
B63C,31,0,0,0,2,3,3,2,6,5,5,5
B63G,29,1,0,0,0,0,2,4,4,4,7,7
B63H,27,1,1,0,1,0,1,4,6,2,5,6
B64B,7,0,1,0,1,0,0,0,3,2,0,0
B64C,272,4,10,13,8,20,30,41,40,41,39,26
B64D,125,0,6,8,7,7,17,18,16,18,12,16
B64F,29,0,0,2,0,0,3,2,2,5,8,7
B64G,31,0,0,2,7,0,0,1,3,4,7,7
B64U,13,0,0,0,0,0,0,0,0,0,3,10
B65B,103,4,7,6,7,4,9,7,11,18,14,16
B65C,8,0,0,0,2,1,1,1,1,2,0,0
B65D,438,34,25,33,29,39,35,49,46,46,45,57
B65F,25,0,0,0,1,0,1,3,3,8,4,5
B65G,311,12,16,19,20,20,28,27,30,49,38,52
B65H,168,15,21,15,20,12,20,9,12,8,9,27
B66B,67,1,1,6,9,10,9,6,10,5,4,6
B66C,64,8,3,2,1,4,5,10,4,8,9,10
B66D,36,2,2,1,3,2,6,1,3,6,4,6
B66F,59,2,2,3,3,5,4,8,2,3,9,18
B67B,10,0,1,1,1,1,0,1,1,0,1,3
B67C,4,0,0,0,0,0,0,2,1,1,0,0
B67D,56,2,0,2,1,5,13,4,10,7,7,5
B68B,1,0,0,0,0,0,0,0,0,1,0,0
B68G,4,0,0,0,0,0,0,0,2,0,1,1
B81B,63,0,4,5,9,4,7,6,7,10,4,7
B81C,45,0,1,6,5,7,4,4,4,6,2,6
B82B,5,0,0,0,0,1,1,1,2,0,0,0
B82Y,19,1,2,3,2,0,5,1,3,1,1,0
C01B,345,13,18,24,35,27,26,37,35,28,42,60
C01C,8,0,1,1,1,1,0,0,1,0,1,2
C01D,19,1,1,1,2,3,1,0,3,3,3,1
C01F,31,2,2,1,5,4,1,3,1,4,5,3
C01G,100,3,3,5,6,8,4,5,10,16,16,24
C02F,427,13,11,12,24,25,36,38,53,66,69,80
C03B,71,3,6,8,6,2,6,7,9,6,10,8
C03C,170,11,8,9,13,11,27,15,14,14,25,23
C04B,264,7,4,12,14,15,11,13,21,45,47,75
